Yeary,Monthy,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2015,5,23,15:51:31,3.7,28.0459,104.7694,35,"SICHUAN, CHINA",10754083,1432396291
2015,5,1,09:12:04,3.8,28.0665,103.4813,35,"SICHUAN, CHINA",10729821,1430471524
2015,5,1,10:14:02,4.1,28.0719,103.562,35,"SICHUAN, CHINA",5152819,1430475242
2015,2,26,17:43:34,3.6,28.0753,104.7467,0,"SICHUAN, CHINA",10635131,1424972614
2014,6,8,21:33:44,3.5,28.0791,103.5789,0,"SICHUAN, CHINA",10293832,1402263224
2015,8,8,06:06:55,3.8,28.0858,104.8544,0,"SICHUAN, CHINA",10859173,1439014015
2017,6,9,13:17:45,4.6,28.0901,104.9566,30.4,"SICHUAN, CHINA",10227751,1497014265
2018,3,17,19:31:04,4.2,28.0952,104.6884,31.8,"SICHUAN, CHINA",10720619,1521315064
2017,1,15,10:05:39,4.5,28.0958,104.765,32,"SICHUAN, CHINA",9997813,1484474739
2014,8,17,14:48:01,3.6,28.1,103.52,10,"SICHUAN, CHINA",10369155,1408286881
2014,8,17,08:45:52,4.4,28.116,103.594,19,"SICHUAN, CHINA",4767262,1408265152
2017,1,15,11:29:21,4.1,28.1162,104.6715,31.9,"SICHUAN, CHINA",9998185,1484479761
2014,4,9,15:12:50,4.2,28.1203,103.6878,35,"SICHUAN, CHINA",4638700,1397056370
2015,2,2,00:20:31,4,28.122,104.7113,10,"SICHUAN, CHINA",5006979,1422836431
2014,8,16,22:07:59,5.1,28.1251,103.5463,10,"SICHUAN, CHINA",4767224,1408226879
2014,12,29,16:08:35,4.2,28.1269,104.8471,32.9,"SICHUAN, CHINA",5003474,1419869315
2014,6,24,00:15:38,4.1,28.1272,104.7578,10,"SICHUAN, CHINA",4726374,1403568938
2019,1,15,15:52:24,4.5,28.1278,104.9626,10,"SICHUAN, CHINA",11001579,1547567544
2014,8,8,09:44:39,3.3,28.1281,105.3845,0,"SICHUAN, CHINA",10358937,1407491079
2014,4,4,22:40:34,4.9,28.1317,103.6474,18.8,"SICHUAN, CHINA",4597569,1396651234
2017,1,15,11:20:59,4.4,28.1323,104.7425,35.7,"SICHUAN, CHINA",9998184,1484479259
2014,12,6,15:49:31,3.4,28.1343,103.7058,0,"SICHUAN, CHINA",10494261,1417880971
2014,4,23,17:19:41,4.3,28.1369,103.6425,10,"SICHUAN, CHINA",4640627,1398273581
2017,5,4,05:40:22,4.9,28.1479,104.9158,10,"SICHUAN, CHINA",10153732,1493876422
2015,2,7,11:46:50,3.5,28.1501,105.0661,0,"SICHUAN, CHINA",10616432,1423309610
2019,6,5,07:27:01,4.4,28.1508,103.6451,33.9,"SICHUAN, CHINA",11045301,1559719621
2019,7,7,16:37:39,4.5,28.1516,104.8509,10,"SICHUAN, CHINA",11082148,1562517459
2014,8,20,10:20:58,4.6,28.1525,103.5911,31.5,"SICHUAN, CHINA",4809281,1408530058
2015,5,1,21:32:49,3.5,28.155,103.7094,0,"SICHUAN, CHINA",10730436,1430515969
2019,5,15,20:33:37,4.8,28.1554,103.6621,37.7,"SICHUAN, CHINA",11037736,1557952417
2014,9,11,16:29:35,4.4,28.1647,103.5782,10,"SICHUAN, CHINA",4807786,1410452975
2015,4,24,11:49:03,4.2,28.167,104.8039,10,"SICHUAN, CHINA",5152893,1429876143
2016,12,28,12:03:10,4.1,28.1681,104.8434,10,"SICHUAN, CHINA",9995566,1482926590
2017,1,18,14:35:19,4.9,28.1707,104.8738,44.7,"SICHUAN, CHINA",9999144,1484750119
2017,2,2,00:34:33,4.6,28.1777,104.7993,33.4,"SICHUAN, CHINA",9997369,1485995673
2016,6,16,15:12:26,4.2,28.1782,103.5829,29.7,"SICHUAN, CHINA",5188329,1466089946
2017,1,27,18:46:36,5.3,28.1832,104.8275,32.2,"SICHUAN, CHINA",9995628,1485542796
2014,8,17,09:11:45,4.7,28.1851,103.7061,10,"SICHUAN, CHINA",4767265,1408266705
2017,4,5,10:34:59,4.3,28.1907,105.0359,10,"SICHUAN, CHINA",10118227,1491388499
2015,5,22,21:36:57,3.5,28.2076,103.5178,35,"SICHUAN, CHINA",10753354,1432330617
2018,10,29,21:00:06,4.5,28.2087,103.7049,10,"SICHUAN, CHINA",10965352,1540846806
2018,5,8,15:11:34,4.7,28.2104,103.5613,10,"SICHUAN, CHINA",10770540,1525792294
2014,3,31,11:07:28,4.2,28.2116,103.6203,10,"SICHUAN, CHINA",4600169,1396264048
2019,7,23,14:25:24,4.5,28.2136,104.641,10,"SICHUAN, CHINA",11089577,1563891924
2014,3,29,02:20:38,3.8,28.2238,105.2655,10,"SICHUAN, CHINA",10083649,1396059638
2015,4,11,01:17:53,4.1,28.2313,104.7397,35,"SICHUAN, CHINA",5111414,1428715073
2014,8,16,22:18:37,4.3,28.2464,103.6539,10,"SICHUAN, CHINA",4807493,1408227517
2015,2,10,17:07:56,3.3,28.2532,105.5055,0,"SICHUAN, CHINA",10619422,1423588076
2019,1,3,00:48:08,5.2,28.261,104.9842,10,"SICHUAN, CHINA",10992035,1546476488
2019,4,24,15:55:28,4.5,28.2612,103.538,10,"SICHUAN, CHINA",11029619,1556121328
2019,4,26,17:19:13,4.3,28.263,104.9533,10,"SICHUAN, CHINA",11030763,1556299153
2018,12,16,04:46:11,5.4,28.2635,104.9907,27.3,"SICHUAN, CHINA",10985684,1544935571
2019,1,4,07:59:32,4.2,28.2824,104.9121,10,"SICHUAN, CHINA",10999845,1546588772
2015,4,12,06:48:42,3.8,28.2971,104.5771,10,"SICHUAN, CHINA",10697558,1428821322
2019,10,21,00:25:38,4.5,28.2976,104.8979,10,"SICHUAN, CHINA",11139766,1571617538
2014,11,30,19:50:41,3.5,28.298,103.9524,0,"SICHUAN, CHINA",10555866,1417377041
2015,6,26,14:05:36,4.6,28.3046,106.1286,10,SOUTHEASTERN CHINA,5153125,1435327536
2019,6,17,15:03:08,4.9,28.3058,104.8033,10,"SICHUAN, CHINA",11053149,1560783788
2019,6,17,15:41:37,4.7,28.317,104.8323,10,"SICHUAN, CHINA",11053467,1560786097
2015,3,14,12:31:32,3.4,28.318,103.175,35,"SICHUAN, CHINA",10658118,1426336292
2014,8,8,19:55:56,3.5,28.3184,105.3694,0,"SICHUAN, CHINA",10359423,1407527756
